Date,Price,Open,Low,High,Volume,Change
2020-04-24,102.01,102.01,102.6,102.01,0.43,-0.48
2020-04-23,102.5,102.0,104.0,102.0,0.29,0.49
2020-04-22,102.0,102.0,102.0,101.9,0.75,-0.49
2020-04-21,102.5,103.0,103.0,102.0,0.87,-0.97
2020-04-20,103.5,103.75,103.75,103.22,0.22,1.47
2020-04-17,102.0,102.0,104.5,102.0,1.1,0.0
2020-04-16,102.0,102.0,105.0,101.6,0.64,0.0
2020-04-15,102.0,101.6,103.0,101.6,0.58,0.39
2020-04-14,101.6,102.0,102.2,101.5,5.46,-0.39
2020-04-13,102.0,102.0,105.0,102.0,0.79,0.0
2020-04-08,102.0,101.8,103.01,101.0,2.08,0.0
2020-04-07,102.0,102.0,102.0,99.5,0.17,1.99
2020-04-06,100.01,102.1,102.1,99.13,3.57,-2.13
2020-04-03,102.19,105.0,105.0,102.19,3.05,-3.0
2020-04-02,105.35,108.4,108.4,105.35,0.52,-2.99
2020-04-01,108.6,110.0,110.0,108.5,1.39,-1.0
2020-03-31,109.7,113.3,113.3,109.7,0.72,-0.27
2020-03-30,110.0,112.75,112.75,110.0,0.37,0.0
2020-03-27,110.0,114.49,114.49,110.0,1.16,-1.57
2020-03-26,111.75,111.75,111.75,108.2,0.76,3.0
2020-03-25,108.5,111.45,111.45,108.5,3.57,0.27
2020-03-24,108.21,108.21,108.21,108.21,2.34,3.0
2020-03-23,105.06,105.06,105.06,104.0,0.91,3.0
2020-03-19,102.0,102.7,102.7,100.0,2.44,2.2
2020-03-18,99.8,95.0,99.8,94.02,1.91,2.97
2020-03-17,96.92,99.91,99.91,96.92,7.72,-5.9
2020-03-16,103.0,108.01,108.01,102.37,10.0,-5.5
2020-03-13,109.0,111.98,111.98,109.0,8.98,-2.72
2020-03-12,112.05,113.5,113.5,112.05,1.63,-0.93
2020-03-11,113.1,112.5,113.5,112.11,2.15,-0.34
2020-03-10,113.49,114.0,114.01,110.58,1.88,-0.46
2020-03-09,114.01,115.0,116.5,114.01,4.4,-0.86
2020-03-06,115.0,118.2,118.2,115.0,1.3,-2.54
2020-03-05,118.0,119.0,119.0,116.0,0.55,-1.01
2020-03-04,119.2,119.5,119.6,119.2,0.04,-0.25
2020-03-03,119.5,119.8,120.0,119.1,1.12,-0.08
2020-03-02,119.6,119.8,119.8,119.0,1.26,-0.17
2020-02-28,119.8,120.0,120.41,119.8,0.81,-0.5
2020-02-27,120.4,120.0,120.5,120.0,0.84,-0.08
2020-02-26,120.5,121.0,122.0,120.5,1.24,-0.41
2020-02-25,121.0,121.0,121.3,120.85,1.14,0.12
2020-02-24,120.85,120.0,120.85,120.0,1.43,0.67
2020-02-21,120.05,120.05,120.9,120.05,1.07,-0.77
2020-02-20,120.98,121.0,121.1,120.05,1.27,-0.02
2020-02-19,121.0,120.0,121.09,120.0,2.64,0.83
2020-02-18,120.0,119.9,122.0,119.9,3.64,0.84
2020-02-17,119.0,116.8,119.5,116.01,2.01,2.41
2020-02-14,116.2,115.9,116.75,115.9,1.27,0.27
2020-02-13,115.89,114.99,115.9,114.99,0.93,1.66
2020-02-12,114.0,114.99,114.99,114.0,0.25,0.0
2020-02-11,114.0,115.0,115.0,113.3,0.33,0.0
2020-02-10,114.0,114.9,115.0,113.5,0.35,-0.87
2020-02-07,115.0,114.05,116.0,113.5,0.49,1.32
2020-02-06,113.5,113.0,113.5,112.5,0.4,0.44
2020-02-05,113.0,112.8,113.0,112.5,0.95,0.8
2020-02-04,112.1,112.2,112.98,112.0,1.29,-0.36
2020-02-03,112.5,112.85,112.85,112.5,0.95,-0.02
2020-01-31,112.52,112.7,113.0,112.31,0.37,-0.42
2020-01-30,113.0,113.2,113.49,112.8,0.85,0.0
2020-01-29,113.0,112.78,113.2,112.78,0.76,0.09
2020-01-28,112.9,112.9,112.9,112.9,0.11,0.17
2020-01-27,112.71,112.7,113.5,112.51,0.46,0.01
2020-01-24,112.7,113.5,113.5,112.51,0.39,-0.7
2020-01-23,113.5,113.54,113.54,112.61,0.26,-0.09
2020-01-22,113.6,111.65,113.65,111.65,0.19,1.78
2020-01-21,111.61,114.0,114.0,111.41,0.69,-1.79
2020-01-20,113.65,112.4,114.0,112.4,0.78,1.2
2020-01-17,112.3,113.5,113.5,112.3,0.53,-0.62
2020-01-16,113.0,112.0,113.0,112.0,0.46,1.45
2020-01-15,111.39,111.3,112.5,111.3,0.53,0.35
2020-01-13,111.0,111.05,111.05,111.0,0.4,-0.05
2020-01-10,111.05,111.1,111.53,111.05,1.84,0.0
2020-01-09,111.05,111.1,111.5,110.9,0.63,0.04
2020-01-08,111.01,111.15,111.2,111.0,1.69,-0.09
