Date,Price,Open,Low,High,Volume,Change
2020-04-24,1.06,1.06,1.06,1.04,19.38,0.0
2020-04-23,1.06,1.05,1.07,1.04,54.15,0.95
2020-04-22,1.05,1.09,1.09,1.05,11.5,-0.94
2020-04-21,1.06,1.09,1.11,1.06,45.9,-1.85
2020-04-20,1.08,1.1,1.12,1.07,70.21,-1.82
2020-04-17,1.1,1.08,1.1,1.04,164.65,2.8
2020-04-16,1.07,1.07,1.07,1.04,11.07,0.0
2020-04-15,1.07,1.08,1.08,1.03,29.79,1.9
2020-04-14,1.05,1.08,1.08,1.05,34.53,-2.78
2020-04-13,1.08,1.07,1.08,1.06,4.21,0.0
2020-04-08,1.08,1.07,1.09,1.06,14.21,-0.92
2020-04-07,1.09,1.06,1.09,1.06,9.56,2.83
2020-04-06,1.06,1.08,1.08,1.06,66.72,-2.75
2020-04-03,1.09,1.09,1.1,1.09,71.22,-2.68
2020-04-02,1.12,1.14,1.17,1.12,37.0,-2.61
2020-04-01,1.15,1.16,1.16,1.15,191.7,1.77
2020-03-31,1.13,1.13,1.13,1.12,115.96,2.73
2020-03-30,1.1,1.1,1.1,1.1,3.2,2.8
2020-03-27,1.07,1.07,1.07,1.07,23.3,2.88
2020-03-26,1.04,1.0,1.04,1.0,89.13,2.97
2020-03-25,1.01,1.01,1.01,1.01,13.55,2.02
2020-03-24,0.99,0.96,0.99,0.95,97.9,2.06
2020-03-23,0.97,0.96,0.97,0.96,18.7,-1.02
2020-03-19,0.98,0.97,1.01,0.97,70.48,-1.01
2020-03-18,0.99,0.99,0.99,0.99,33.69,-10.0
2020-03-13,1.1,1.15,1.15,1.1,56.07,-5.17
2020-03-12,1.16,1.16,1.16,1.16,17.74,-2.52
2020-03-11,1.19,1.18,1.21,1.17,45.32,0.85
2020-03-10,1.18,1.17,1.18,1.13,65.81,0.0
2020-03-09,1.18,1.19,1.21,1.18,37.05,-2.48
2020-03-06,1.21,1.21,1.21,1.19,31.01,-0.82
2020-03-05,1.22,1.22,1.23,1.21,14.65,0.0
2020-03-04,1.22,1.22,1.23,1.21,49.85,0.0
2020-03-03,1.22,1.21,1.22,1.2,63.01,0.83
2020-03-02,1.21,1.2,1.21,1.2,12.84,0.83
2020-02-28,1.2,1.19,1.21,1.19,47.0,0.0
2020-02-27,1.2,1.21,1.21,1.19,19.81,0.0
2020-02-26,1.2,1.2,1.21,1.2,7.7,0.0
2020-02-25,1.2,1.2,1.22,1.2,10.97,-1.64
2020-02-24,1.22,1.24,1.24,1.21,72.43,-1.61
2020-02-21,1.24,1.21,1.24,1.21,266.74,2.48
2020-02-20,1.21,1.2,1.21,1.2,11.08,0.0
2020-02-19,1.21,1.21,1.21,1.2,4.45,0.0
2020-02-18,1.21,1.19,1.21,1.19,10.48,1.68
2020-02-17,1.19,1.2,1.22,1.19,10.84,-0.83
2020-02-14,1.2,1.22,1.22,1.19,22.36,-1.64
2020-02-13,1.22,1.21,1.23,1.21,58.67,0.83
2020-02-12,1.21,1.17,1.21,1.17,159.18,2.54
2020-02-11,1.18,1.15,1.18,1.15,16.71,0.85
2020-02-10,1.17,1.17,1.17,1.15,34.16,0.0
2020-02-07,1.17,1.17,1.17,1.16,14.23,0.0
2020-02-06,1.17,1.18,1.18,1.16,32.2,0.0
2020-02-05,1.17,1.17,1.18,1.16,64.01,-0.85
2020-02-04,1.18,1.18,1.19,1.17,54.03,-0.84
2020-02-03,1.19,1.18,1.2,1.17,82.65,-0.83
2020-01-31,1.2,1.2,1.2,1.18,3.76,1.69
2020-01-30,1.18,1.21,1.21,1.18,17.42,-1.67
2020-01-29,1.2,1.22,1.22,1.19,11.91,0.0
2020-01-28,1.2,1.2,1.2,1.2,51.22,0.0
2020-01-27,1.2,1.2,1.22,1.2,57.85,0.0
2020-01-24,1.2,1.2,1.2,1.19,9.62,0.84
2020-01-23,1.19,1.2,1.21,1.18,16.7,-0.83
2020-01-22,1.2,1.17,1.2,1.17,14.16,0.84
2020-01-21,1.19,1.18,1.2,1.16,25.4,0.85
2020-01-20,1.18,1.18,1.19,1.16,38.0,2.61
2020-01-17,1.15,1.14,1.17,1.14,38.17,-1.71
2020-01-16,1.17,1.18,1.2,1.15,70.39,-1.68
2020-01-15,1.19,1.22,1.22,1.19,17.21,-2.46
2020-01-13,1.22,1.2,1.23,1.19,2.45,0.0
2020-01-10,1.22,1.22,1.23,1.19,38.74,0.0
2020-01-09,1.22,1.23,1.23,1.2,55.71,1.67
2020-01-08,1.2,1.2,1.23,1.19,13.12,-0.83
2020-01-07,1.21,1.24,1.24,1.21,10.16,-2.42
2020-01-06,1.24,1.22,1.25,1.19,39.98,1.64
2020-01-03,1.22,1.23,1.24,1.21,57.44,0.0
2020-01-02,1.22,1.18,1.22,1.18,126.63,2.52
2019-12-31,1.19,1.18,1.2,1.18,56.4,0.85
2019-12-30,1.18,1.2,1.2,1.18,48.12,-1.67
2019-12-27,1.2,1.17,1.2,1.17,55.86,0.84
2019-12-26,1.19,1.18,1.19,1.18,38.63,0.85
2019-12-25,1.18,1.19,1.2,1.18,38.83,-0.84
2019-12-24,1.19,1.19,1.19,1.17,29.97,0.0
2019-12-23,1.19,1.19,1.19,1.18,11.45,0.0
2019-12-20,1.19,1.2,1.2,1.18,24.56,-0.83
2019-12-19,1.2,1.21,1.21,1.19,85.63,-0.83
2019-12-18,1.21,1.2,1.21,1.19,91.07,0.0
2019-12-17,1.21,1.18,1.21,1.18,26.43,1.68
2019-12-16,1.19,1.19,1.2,1.19,6.6,-0.83
2019-12-13,1.2,1.2,1.2,1.18,20.02,0.0
2019-12-12,1.2,1.2,1.2,1.19,10.05,0.0
2019-12-11,1.2,1.19,1.21,1.19,119.88,0.0
2019-12-10,1.2,1.22,1.22,1.19,25.88,-0.83
2019-12-09,1.21,1.22,1.22,1.2,4.65,0.0
2019-12-06,1.21,1.22,1.22,1.2,32.46,-0.82
2019-12-05,1.22,1.2,1.23,1.2,8.56,-0.81
2019-12-04,1.23,1.21,1.23,1.21,14.5,0.82
2019-12-03,1.22,1.23,1.23,1.2,4.8,0.83
2019-12-02,1.21,1.24,1.24,1.21,15.66,-1.63
2019-11-29,1.23,1.21,1.24,1.2,5.32,1.65
2019-11-28,1.21,1.24,1.24,1.21,21.45,-1.63
2019-11-27,1.23,1.23,1.24,1.22,17.27,0.0
2019-11-26,1.23,1.22,1.25,1.21,25.69,0.82
2019-11-25,1.22,1.22,1.25,1.22,73.72,-2.4
2019-11-22,1.25,1.3,1.3,1.25,134.39,-4.58
2019-11-21,1.31,1.33,1.34,1.28,944.56,2.34
2019-11-19,1.28,1.23,1.28,1.23,317.32,4.07
2019-11-18,1.23,1.24,1.24,1.21,62.9,0.0
2019-11-15,1.23,1.2,1.23,1.2,27.44,0.0
2019-11-14,1.23,1.22,1.24,1.19,33.88,1.65
2019-11-13,1.21,1.2,1.23,1.2,19.98,-0.82
2019-11-12,1.22,1.22,1.24,1.22,33.87,0.0
2019-11-11,1.22,1.18,1.22,1.18,23.69,1.67
2019-11-08,1.2,1.21,1.21,1.18,19.44,-0.83
2019-11-07,1.21,1.18,1.21,1.17,54.51,0.0
2019-11-06,1.21,1.2,1.21,1.19,4.73,0.0
2019-11-05,1.21,1.2,1.21,1.18,28.92,0.0
2019-11-04,1.21,1.2,1.24,1.2,18.46,-2.42
2019-11-01,1.24,1.24,1.24,1.21,20.16,0.81
2019-10-31,1.23,1.25,1.25,1.2,15.14,0.0
2019-10-30,1.23,1.26,1.26,1.23,1.63,0.0
2019-10-29,1.23,1.25,1.26,1.22,14.86,-3.15
2019-10-28,1.27,1.29,1.29,1.25,18.97,-0.78
2019-10-25,1.28,1.27,1.29,1.25,96.06,0.79
2019-10-24,1.27,1.26,1.29,1.23,193.71,2.42
2019-10-23,1.24,1.22,1.25,1.19,260.09,3.33
2019-10-22,1.2,1.22,1.22,1.19,45.75,-0.83
2019-10-21,1.21,1.22,1.22,1.19,19.02,0.0
2019-10-18,1.21,1.19,1.22,1.19,42.06,0.83
2019-10-17,1.2,1.21,1.23,1.18,49.5,1.69
2019-10-16,1.18,1.21,1.25,1.18,71.0,-4.07
2019-10-14,1.23,1.26,1.26,1.23,7.65,0.0
2019-10-11,1.23,1.26,1.26,1.23,23.38,-0.81
2019-10-10,1.24,1.25,1.26,1.23,51.4,-0.8
2019-10-09,1.25,1.26,1.28,1.23,227.51,1.63
2019-10-08,1.23,1.2,1.26,1.2,246.3,2.5
2019-10-07,1.2,1.22,1.22,1.19,83.39,-1.64
2019-10-04,1.22,1.22,1.24,1.19,77.27,0.0
2019-10-03,1.22,1.18,1.22,1.17,94.89,2.52
2019-10-02,1.19,1.17,1.2,1.17,18.43,-0.83
2019-10-01,1.2,1.18,1.21,1.15,90.33,1.69
2019-09-30,1.18,1.23,1.23,1.18,21.13,-4.07
2019-09-27,1.23,1.23,1.24,1.21,44.65,0.82
2019-09-26,1.22,1.23,1.26,1.2,99.92,0.0
2019-09-25,1.22,1.16,1.22,1.13,179.88,5.17
2019-09-24,1.16,1.22,1.22,1.12,112.15,-0.85
2019-09-23,1.17,1.12,1.17,1.12,250.19,5.41
2019-09-20,1.11,1.07,1.11,1.07,24.28,2.78
2019-09-19,1.08,1.08,1.09,1.07,17.9,-0.92
2019-09-18,1.09,1.1,1.1,1.08,7.18,-0.91
2019-09-17,1.1,1.07,1.1,1.07,6.57,0.0
2019-09-16,1.1,1.1,1.1,1.1,0.13,-0.9
2019-09-13,1.11,1.11,1.11,1.08,35.17,0.0
2019-09-12,1.11,1.11,1.11,1.1,0.75,0.0
2019-09-11,1.11,1.09,1.11,1.09,17.27,0.91
2019-09-10,1.1,1.09,1.1,1.09,13.75,0.0
2019-09-09,1.1,1.12,1.12,1.09,12.79,0.0
2019-09-06,1.1,1.09,1.11,1.09,13.3,0.92
2019-09-05,1.09,1.1,1.1,1.09,1.78,-1.8
2019-09-04,1.11,1.11,1.13,1.09,29.19,0.0
2019-09-03,1.11,1.12,1.12,1.11,11.65,-1.77
2019-09-02,1.13,1.12,1.14,1.11,29.54,-0.88
2019-08-30,1.14,1.14,1.14,1.13,16.27,-1.72
2019-08-29,1.16,1.17,1.17,1.14,1.91,-0.85
2019-08-28,1.17,1.15,1.18,1.12,50.85,3.54
2019-08-27,1.13,1.12,1.14,1.12,7.55,0.0
2019-08-26,1.13,1.12,1.14,1.12,10.27,0.0
2019-08-23,1.13,1.13,1.14,1.11,19.98,0.89
2019-08-22,1.12,1.15,1.15,1.12,67.45,-2.61
2019-08-21,1.15,1.15,1.15,1.14,42.64,0.0
2019-08-20,1.15,1.16,1.16,1.15,9.92,-1.71
2019-08-19,1.17,1.16,1.18,1.16,7.56,0.0
2019-08-16,1.17,1.17,1.17,1.16,20.65,0.0
2019-08-15,1.17,1.16,1.19,1.16,8.17,-1.68
2019-08-14,1.19,1.19,1.19,1.19,0.57,1.71
2019-08-09,1.17,1.18,1.18,1.17,10.27,-0.85
2019-08-08,1.18,1.19,1.19,1.16,38.23,-0.84
2019-08-07,1.19,1.18,1.19,1.17,5.8,0.85
2019-08-06,1.18,1.17,1.18,1.17,12.25,0.0
2019-08-05,1.18,1.19,1.19,1.17,10.31,0.0
2019-08-02,1.18,1.19,1.2,1.18,44.05,-1.67
2019-08-01,1.2,1.19,1.2,1.18,5.11,0.0
2019-07-31,1.2,1.2,1.2,1.19,1.17,0.0
2019-07-30,1.2,1.2,1.2,1.2,3.66,0.0
2019-07-29,1.2,1.21,1.21,1.19,12.17,-1.64
2019-07-26,1.22,1.22,1.22,1.22,1.01,3.39
2019-07-24,1.18,1.2,1.2,1.17,24.07,0.0
2019-07-23,1.18,1.2,1.2,1.18,14.02,-1.67
2019-07-22,1.2,1.21,1.21,1.2,17.18,-2.44
2019-07-19,1.23,1.21,1.23,1.2,13.35,0.0
2019-07-18,1.23,1.21,1.23,1.21,12.48,-0.81
2019-07-17,1.24,1.22,1.24,1.21,35.39,1.64
2019-07-16,1.22,1.2,1.22,1.2,24.65,1.67
2019-07-15,1.2,1.19,1.21,1.19,17.98,0.0
2019-07-12,1.2,1.18,1.21,1.18,19.44,0.0
2019-07-11,1.2,1.18,1.21,1.18,35.26,-0.83
2019-07-10,1.21,1.22,1.22,1.19,41.94,0.0
2019-07-09,1.21,1.2,1.21,1.19,9.02,0.0
2019-07-08,1.21,1.24,1.24,1.2,16.09,-0.82
2019-07-05,1.22,1.2,1.23,1.2,114.03,0.83
2019-07-04,1.21,1.19,1.22,1.19,35.4,0.83
2019-07-03,1.2,1.21,1.21,1.2,23.76,-0.83
2019-07-02,1.21,1.19,1.22,1.19,4.37,0.0
2019-07-01,1.21,1.18,1.22,1.18,28.61,0.83
2019-06-28,1.2,1.19,1.22,1.19,26.5,1.69
2019-06-27,1.18,1.21,1.23,1.18,103.89,-4.07
